last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,swing_percent,
Heston, Chris,518790,2015,3.95,58.9,14.1,27.7,36.8,62.3,6.8,85,44.5,40.7,41.6,
Nelson, Jimmy,519076,2015,4.11,63.7,14.4,31.1,38.1,70.6,7.3,83.9,49.6,45.1,47.3,
Porcello, Rick,519144,2015,4.92,64,15.5,29.3,32.9,67.6,6.8,83.7,50.4,46.4,46.9,
Sale, Chris,519242,2015,3.41,67.2,26.4,32.6,44.9,73.6,7.5,73.4,48.6,43.4,49.4,
Zimmermann, Jordan,519455,2015,3.66,67.7,12.5,29.7,36.5,72.9,9.6,87.1,53.6,42.8,50,
De La Rosa, Rubby,523989,2015,4.67,68,18.5,31.1,37,78.6,6.7,80.6,48.3,44.8,48.9,
Teheran, Julio,527054,2015,4.04,66.8,19.1,27.6,40.1,71.9,6.8,79.7,46.7,41.5,45.9,
Ramirez, Erasmo,541640,2015,3.75,68,17.1,31.4,38.3,81.1,7.5,81.8,50.3,44.1,49.8,
Cole, Gerrit,543037,2015,2.60,66.3,13.5,30.2,43.5,81.6,8.1,85.3,50.3,41.9,48.3,
DeSclafani, Anthony,543101,2015,4.05,69,15.8,28.1,36.3,78.8,8.6,83.1,50.8,43,48.9,
Gray, Sonny,543243,2015,2.73,65.7,13.7,27.5,44.4,75.3,7.8,85.9,50.7,42.6,46.8,
Hendricks, Kyle,543294,2015,3.95,59.4,12.3,30.1,34,71.6,6.1,85.9,46.5,44.1,43.8,
Koehler, Tom,543408,2015,4.08,63.8,10.9,25.7,35,78.3,7.4,87.5,48.9,41.6,44.4,
McHugh, Collin,543521,2015,3.89,65.6,15.9,31.3,38.4,66,7.8,83.3,48.5,41,47.9,
Odorizzi, Jake,543606,2015,3.35,68.9,17,32.4,34.2,78.6,6.8,81.8,45.1,42.6,48.9,
Bauer, Trevor,545333,2015,4.55,66.1,13.2,25.8,45.5,74.5,7.4,86.2,48.6,42.9,45.3,
Ventura, Yordano,570649,2015,4.08,63.5,13.8,28.3,46.9,69.7,8.3,85.6,48.8,39.8,45.5,
Fiers, Mike,571666,2015,3.69,68,15.7,29.9,34,74,8,82.9,47.7,40.8,48,
Miller, Shelby,571946,2015,3.02,68,16,28.5,34.9,78,8,83.1,52.8,44.2,49.4,
Richards, Garrett,572070,2015,3.65,62.8,13.8,30,50,66.4,8.1,85.4,49.1,41.4,46.1,
Keuchel, Dallas,572971,2015,2.48,61.7,11.8,32.8,42,69.4,5,87.2,40.4,41.8,44.5,
Walker, Taijuan,592836,2015,4.56,65,17,30.4,37,72.4,7.5,81.9,50.3,43.8,47.8,
Martinez, Carlos,593372,2015,3.01,63.9,14.7,32.1,41.2,67.3,7.5,84.5,48.3,42,47.4,
deGrom, Jacob,594798,2015,2.54,69.6,19.4,34.2,42.5,81.9,6.3,79.9,50.1,44.2,51.9,
Wacha, Michael,608379,2015,3.38,70.4,17,29.4,32.8,76.8,7.8,82,52.2,44.4,50.8,
Chen, Wei-Yin,612672,2015,3.34,69.7,14.3,30.6,30.7,78,8,85.2,52.5,44.6,51.1,
Wood, Alex,622072,2015,3.84,63.7,12.9,26.5,35.1,72.5,6.5,86.3,49.7,46,45,
Colon, Bartolo,112526,2016,3.43,62.3,9.6,30.4,22.1,72.4,8.1,89.6,52.5,44.5,47.2,
Sabathia, CC,282332,2016,3.91,63.7,15.7,30.8,36.3,71.9,6.4,83,47.5,44.5,46.4,
Dickey, R.A.,285079,2016,4.46,66.9,20.1,26.8,33.3,82.2,8,79,53,43.3,48.1,
Lackey, John,407793,2016,3.35,67.3,16.5,31.2,43.4,75.4,7.4,82.2,49.5,42.1,49,
Wainwright, Adam,425794,2016,4.62,62.6,11.1,27.3,37.9,71,7.7,86.7,47.7,42.5,44.1,
Santana, Ervin,429722,2016,3.38,67.8,13.7,30.7,38.9,77,5.6,85.7,44.5,41.6,47.2,
Hamels, Cole,430935,2016,3.32,66.6,16.8,33.8,43,70.6,6.1,82.4,45.2,43,48.7,
Verlander, Justin,434378,2016,3.04,68.1,19.9,32.8,40.4,75.1,7.3,79.7,49.4,44.8,50.2,
Liriano, Francisco,434538,2016,4.69,62.2,15,29.3,48.2,76,5.5,83.4,42.6,42.9,43.3,
Hammel, Jason,434628,2016,3.83,63.5,14.7,30,41.8,67.8,6.5,84,49.5,42.5,46.6,
Nolasco, Ricky,445060,2016,4.42,66.1,11.1,29,40.3,70.6,7.1,88.5,47.1,41.5,46.5,
Kluber, Corey,446372,2016,3.14,65.7,17.6,32.3,48.4,74.1,7.5,81.8,48.6,42,48.5,
Shields, James,448306,2016,5.85,67.1,12.1,27.3,40,72.8,6.2,86.5,42,40.4,44,
Garcia, Jaime,448802,2016,4.67,63.4,13.9,27,39.2,71.4,7.9,84.2,51.6,43,45.8,
Volquez, Edinson,450172,2016,5.37,62.8,12.3,28.7,36.4,69.5,7,87,50.3,42.3,45.8,
Weaver, Jered,450308,2016,5.06,62.6,15.9,28,24.7,66.5,8.2,82.8,51.5,43.8,45.8,
Fister, Doug,450729,2016,4.64,55.7,8.9,28.1,26.2,58.4,5.4,90.1,44.8,44.4,40.5,
Lester, Jon,452657,2016,2.44,68,14.6,29.1,42.3,73,6.2,84.5,46.5,42.6,47.1,
Kennedy, Ian,453178,2016,3.68,66.6,18,28.7,35.2,75.9,6.7,81.4,49.1,45.1,47.3,
Scherzer, Max,453286,2016,2.96,68.6,24.5,33.9,49.1,76.5,9.1,74.7,51.7,42,51.8,
Arrieta, Jake,453562,2016,3.10,62.7,17.4,28.5,41.7,76.9,7.6,81.9,49.8,44,45.6,
Price, David,456034,2016,3.99,69.4,20.6,31.1,35.1,78.7,7.4,78.7,51.8,45.3,51,
Cueto, Johnny,456501,2016,2.79,66.3,15.3,31.7,33.8,72.5,7.8,83.9,47.9,43.2,48.2,
Happ, J.A.,457918,2016,3.18,67.7,17.7,25.8,34.1,77.9,6.9,81.7,50.5,43.6,47,
Tomlin, Josh,458708,2016,4.40,62.7,10.1,34.5,28.5,73.5,7.2,89.1,49.1,46.2,48.4,
Gonzalez, Gio,461829,2016,4.57,64.1,16.2,27.8,35.9,68.6,6,81.3,45.1,44.8,44.2,
Estrada, Marco,462136,2016,3.48,67.1,20.6,27.4,37.8,77.5,6.1,78.8,46.3,45.1,45.8,
Nova, Ivan,467100,2016,4.17,66,8.5,35.3,39.1,70.9,5.8,90.6,46.1,42.7,49.5,
Hellickson, Jeremy,476451,2016,3.71,66.8,16.4,33.5,35.6,76.2,5.7,82.5,43.5,43,48,
Miley, Wade,489119,2016,5.37,62.9,12.8,31.5,35.3,74,6.6,85.7,48.3,44.3,46.7,
Quintana, Jose,500779,2016,3.20,64.6,12.4,26.6,33.8,70,7.7,87.2,50.5,44.3,45.8,
Pineda, Michael,501381,2016,4.82,66.5,16.7,34.1,54.4,77.4,6.5,82.6,45.3,43.2,48.8,
Tillman, Chris,501957,2016,3.77,66.9,17.8,25.9,31.2,73.4,7.3,81.6,48.2,41.7,45.7,
Archer, Chris,502042,2016,4.02,63.6,19.3,27.5,53.2,71.5,7.2,80.3,49.9,41.8,45.5,
Samardzija, Jeff,502188,2016,3.81,67.9,14.4,29.2,34.7,75.7,7.5,84.5,50.2,44.6,48.6,
Leake, Mike,502190,2016,4.69,66.9,8.8,29.8,31,73.9,6.1,89.8,48.7,43.6,47.9,
Santiago, Hector,502327,2016,4.70,66.8,16.8,23.2,29.5,78.8,8.6,82.8,52.6,42.2,46.2,
Bettis, Chad,518452,2016,4.79,66.4,13.1,28.1,36.5,80.7,6.1,85.5,44.4,42.8,45.1,
Bumgarner, Madison,518516,2016,2.74,66.5,18.6,30.5,40.5,72.4,7.1,80.6,48.8,44,48.1,
Duffy, Danny,518633,2016,3.51,69.5,21.3,30.4,43.1,80.7,9,78.1,54,41.5,51.5,
Moore, Matt,519043,2016,4.08,65.6,18.4,27.3,37.8,74.3,7.6,81,51.4,44.6,47,
Nelson, Jimmy,519076,2016,4.62,62.9,13.9,25,31.6,69.4,8.6,85,52.6,41.7,45,
Pomeranz, Drew,519141,2016,3.32,63.7,18.3,29.2,40.6,70.7,8.2,80.6,49.2,42.6,46.2,
Porcello, Rick,519144,2016,3.15,64.5,13.9,28.9,30.7,70.8,7.8,85.4,54.8,43.5,48.4,
Sale, Chris,519242,2016,3.34,65.5,19.4,31.3,36.5,71.6,8.7,80.1,52.7,43.6,49.3,
Perez, Martin,527048,2016,4.39,66.4,11.8,30.3,31.6,71.4,6.2,87.1,49.4,45.1,48.1,
Teheran, Julio,527054,2016,3.21,67.6,18,29,38.5,77.6,7.5,81.2,50.9,43.4,48.6,
Hendricks, Kyle,543294,2016,2.13,57.1,16.5,31.5,37.2,70.6,6.5,82.2,45.6,45.1,43.2,
Koehler, Tom,543408,2016,4.33,64.5,14.5,27.8,39.8,76.6,7.1,84.7,45.2,39.7,44.4,
McHugh, Collin,543521,2016,4.34,65.2,15.4,31.1,40.3,72.5,7.2,84.2,48.4,41,47.6,
Odorizzi, Jake,543606,2016,3.69,68.7,18.1,29.3,30,78.4,6.4,81.5,49.9,44.8,49,
Roark, Tanner,543699,2016,2.83,60.7,14.8,29.5,33.7,69.5,6.7,83.7,46,42.2,43.8,
Bauer, Trevor,545333,2016,4.26,63.4,15.4,24.5,41.3,69.1,7.9,84.2,50.7,40.9,44.2,
Iwakuma, Hisashi,547874,2016,4.12,64.6,10.7,31,33.2,72.9,8.7,88.7,53,44.4,48.8,
Tanaka, Masahiro,547888,2016,3.07,68.3,15,34.5,37.5,73.1,6.6,84.8,46.5,44,50.2,
Ventura, Yordano,570649,2016,4.45,63.7,12.3,26.1,44.7,73.1,7.2,87.2,48.7,40.7,44.4,
Fiers, Mike,571666,2016,4.48,64.6,16.6,26.8,33.4,71.4,7.7,83.1,50.5,41.2,45.9,
Keuchel, Dallas,572971,2016,4.55,61.2,13.5,30.2,38.4,70.4,6,85.7,44.8,45.4,44.1,
Straily, Dan,573185,2016,3.76,67.3,16.6,27.2,39.7,70.6,7.8,82,50.3,41.7,47.4,
Stroman, Marcus,573186,2016,4.37,66.4,12.6,29.2,39.9,77.1,7.6,86.4,48.5,44,47.3,
Gausman, Kevin,592332,2016,3.61,64.9,18.1,34.8,36.5,78.3,7.4,81.7,45.1,44.6,48.4,
Gray, Jon,592351,2016,4.61,67.7,16.1,29.1,52,74.2,7.8,83,51.5,42.6,49,
Ray, Robbie,592662,2016,4.90,64.8,19.8,28.2,42.2,75.7,6.6,79.6,50.3,44.6,46.6,
Sanchez, Aaron,592717,2016,3.00,61,15.1,24.6,36.4,73.5,7.9,84.3,51.8,42.8,43.5,
Smyly, Drew,592767,2016,4.88,66.3,18.4,28.6,39.2,73,7.7,80.8,50,42.2,47.5,
Syndergaard, Noah,592789,2016,2.60,65.6,20.2,35.8,47.9,72.4,6.8,78.9,49,45.6,50.4,
Martinez, Carlos,593372,2016,3.04,64.5,16.5,29,37,69.1,8.9,82.1,51,42,47.1,
Eickhoff, Jerad,595191,2016,3.65,63.1,14.3,29.5,35.9,69.1,6.8,84.4,48.2,42.7,45.7,
Davies, Zach,605200,2016,3.97,61.1,15.1,30.9,27.7,73,4.9,83.6,45.1,46.3,44.6,
Fernandez, Jose,605228,2016,2.86,61.7,20.5,31.5,54.7,71.4,7.5,78.9,47.9,43.1,46,
Finnegan, Brandon,605232,2016,3.98,65.6,16.7,27.1,35.6,76.6,7.2,81.7,47.9,44.3,45.5,
Rodon, Carlos,607074,2016,4.04,64,15.6,27.4,43,75.6,7.6,83.4,51.4,41.5,46.3,
Graveman, Kendall,608665,2016,4.11,62.5,10.6,27.2,35,75.8,7.5,88.6,49.5,42.9,44.7,
Maeda, Kenta,628317,2016,3.48,63.5,19.4,31.7,40.2,71.8,7.1,80,44.3,41.9,45.8,
Greinke, Zack,425844,2018,3.21,62.6,19.2,31.6,36.2,67.2,5.8,80.4,44.3,45.3,45.3,
Hamels, Cole,430935,2018,3.78,68.6,17.7,29.3,46.3,78.9,6.7,81.7,47.1,43.8,47.8,
Verlander, Justin,434378,2018,2.52,68,25.8,31.2,46.9,78,9.2,73.8,54.4,45.4,51.2,
Kluber, Corey,446372,2018,2.89,64.3,14.1,33.6,50,75.3,6.3,85.4,48.2,43.3,48.2,
Shields, James,448306,2018,4.53,67.5,16.6,26.7,40.5,77.9,7.9,83,45.8,40.4,45.4,
Morton, Charlie,450203,2018,3.13,63.9,18.9,24.9,54.1,70.2,7.7,80.5,50.9,42.5,44.8,
Lester, Jon,452657,2018,3.32,68.1,14.2,22.7,36.7,80.9,6.7,84.7,47.5,42.1,44.3,
LeBlanc, Wade,453281,2018,3.72,64.2,17.2,30.1,30.6,76.5,7,82.3,47.5,43.7,46.2,
Scherzer, Max,453286,2018,2.53,69.7,25.9,32.2,51.2,71.6,8.6,73.3,53.5,42,52.4,
Arrieta, Jake,453562,2018,3.96,63.4,13.1,28.2,33,67.2,8.5,85.5,50.9,41.2,46.1,
Price, David,456034,2018,3.58,67.3,17.6,28.4,34.5,79.9,7.9,81.9,49.2,43.2,47.5,
Happ, J.A.,457918,2018,3.65,69.5,17.8,28.5,37.7,81.7,6.8,81.8,47.1,45.7,47.8,
Gonzalez, Gio,461829,2018,4.21,65.6,18.6,25.3,34.8,70.3,5.7,80.4,44.6,42.1,43.2,
Chacin, Jhoulys,468504,2018,3.50,62,13.1,24.2,42.5,74.5,7.2,86,50.8,43.3,43.4,
Carrasco, Carlos,471911,2018,3.38,67.7,19.1,33.9,58.2,69.2,7.5,80.4,46.4,40.4,49.7,
Quintana, Jose,500779,2018,4.03,62.2,13.2,25.1,37.4,74.9,7.6,85.5,48.1,41.7,42.8,
Gibson, Kyle,502043,2018,3.62,67.1,14.8,30,45.1,72.7,5.1,84,41,44.4,45.2,
Leake, Mike,502190,2018,4.36,68.2,10.3,30.3,32,77.1,7.2,89.3,51.3,44.9,49.7,
Holland, Derek,502706,2018,3.57,66.6,19.1,27.5,35.5,80,6.7,80.6,49.9,45.1,47,
Porcello, Rick,519144,2018,4.28,65.2,13.7,27.8,37.2,76.7,7.2,86,51.5,44.6,47.1,
Teheran, Julio,527054,2018,3.94,64.9,19.4,25.5,47.1,78.4,6,80.1,44.9,43.2,43.1,
Anderson, Tyler,542881,2018,4.55,69,17.7,26.9,46.6,74.6,8,81.9,52.7,43.7,49.1,
Cole, Gerrit,543037,2018,2.88,67.5,24.5,29.2,47.5,79.9,8.3,74.8,53.5,43.7,49.6,
Hendricks, Kyle,543294,2018,3.44,59.5,16,29.6,33.2,70.2,7.1,82,50.5,46.6,44.7,
Odorizzi, Jake,543606,2018,4.49,70.5,19.8,29.3,33.9,81.2,5.7,80,44.2,44.1,47.4,
Roark, Tanner,543699,2018,4.34,65.6,12.7,28.1,35.5,73.8,6.2,86.7,47.4,43.8,45.8,
Bauer, Trevor,545333,2018,2.21,62.7,19.7,28.9,55.1,76,7,80.1,48,40.8,45.1,
Wheeler, Zack,554430,2018,3.31,68.1,18.8,30.4,37.1,73.5,7.6,79.9,49.8,44.4,49.2,
Urena, Jose,570632,2018,3.98,70.6,16.3,28.2,28.3,75.9,6.3,82.9,45.4,42.9,47.5,
Boyd, Matthew,571510,2018,4.39,67.5,17,25.7,40.4,73,7.4,82.3,49.7,42.5,46.5,
Corbin, Patrick,571578,2018,3.15,65.8,20,34.8,53.4,72.2,5.4,78.2,41.3,41.2,47.6,
Fiers, Mike,571666,2018,3.56,65.2,14.6,27.4,31.9,80.5,7.9,84.6,51.1,43.5,46.6,
Heaney, Andrew,571760,2018,4.15,66.8,18.7,30.3,42.9,80.3,7.2,80.7,49.7,43.8,48.5,
Mikolas, Miles,571945,2018,2.83,68.9,14.4,34.1,33.2,76.6,7.8,84.9,52.9,42.2,52.5,
Keuchel, Dallas,572971,2018,3.74,65.5,12.1,29.1,33.3,65.5,5.3,87.6,44.5,46,45.3,
Foltynewicz, Mike,592314,2018,2.85,63.2,17.9,24.2,44.6,69.1,7.7,81,50.6,41.5,44,
Gausman, Kevin,592332,2018,3.92,69.4,17.8,30,39.9,76.5,7.5,81.9,48.9,43.5,49.3,
Gray, Jon,592351,2018,5.12,65.6,17.8,25.6,57.8,75,8,80.9,50.8,41.5,45.9,
Taillon, Jameson,592791,2018,3.20,67.3,16.9,30.9,39.2,70.6,7.7,82.4,50.7,45,49.3,
Williams, Trevor,592866,2018,3.11,67.4,13.1,28.1,31.2,78,5.8,86,48.5,44.5,47.2,
deGrom, Jacob,594798,2018,1.70,69.4,23.6,35,46.1,72.8,7.1,74.9,51,45,52.5,
Gonzales, Marco,594835,2018,4.00,64.8,17.2,32.9,28.3,73.1,6.1,82.3,48.8,46.6,48.4,
Junis, Jakob,596001,2018,4.37,64.2,11.9,29.4,44.3,73.7,8.3,87.1,50.3,40.7,46.9,
Pivetta, Nick,601713,2018,4.77,66.2,20.1,29.3,45.3,70.2,7.4,78.9,50.9,42.8,48.1,
Bundy, Dylan,605164,2018,5.45,68.5,19.6,30,45.4,74.1,8.7,79.7,53,42.2,50.3,
Clevinger, Mike,605182,2018,3.02,65.8,21.1,27.5,43.5,74.2,8.2,78.6,49.5,40.9,46.4,
Nola, Aaron,605400,2018,2.37,64.1,21.3,29.8,41.8,71.8,7.9,77.6,51.8,45.1,47.6,
Snell, Blake,605483,2018,1.89,63.9,22.7,30.8,54.1,76,5.9,76.8,44.2,42.9,45.4,
Freeland, Kyle,607536,2018,2.85,66.9,16.4,28.2,31.7,77,5.6,82.4,45.6,43.8,45.8,
Giolito, Lucas,608337,2018,6.13,63.1,14.5,24.8,38.2,67.4,7.7,85,48.7,42.3,43.4,
Marquez, German,608566,2018,3.77,65.3,17.5,28.2,54.6,73.9,8.9,81.4,51.9,41,47.4,
Berrios, Jose,621244,2018,3.84,66.5,17.7,30.5,42,73.7,6.9,81.6,48,41.7,47.9,
Castillo, Luis,622491,2018,4.30,68.9,22.3,29.6,43.8,67.9,7.5,76.9,51,42.9,49.6,
Severino, Luis,622663,2018,3.39,67.5,20.4,29.6,43.3,76.6,8.7,79.4,52.9,43.2,49.7,
Lopez, Reynaldo,625643,2018,3.91,68.2,16.6,25.9,33.8,78.1,9,83.3,50.7,42.5,47.4,
Godley, Zack,643327,2018,4.74,62.8,15.1,29.2,49.2,75,6.9,83.3,45.3,37.4,44.4,
Newcomb, Sean,656794,2018,3.90,66.8,19.5,24.9,37.2,76.5,7.9,80.1,47.1,41.6,44.6,